epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.594,1.26207,3.51134,1.29519,0.77271,0.71786,0.69812,0.47412,1.12486,2.87629,1.16019,0.00036674,0.00036674,0.00036674
2,383.635,1.32247,2.29124,1.27971,0.63021,0.66071,0.68908,0.48383,1.13732,2.68022,1.24162,0.000735297,0.000735297,0.000735297
3,539.909,1.27745,1.77464,1.30918,0.90719,0.64286,0.75107,0.4791,1.41566,2.07893,1.39226,0.00108867,0.00108867,0.00108867
4,679.391,1.39444,1.79231,1.36356,0.64782,0.72458,0.73013,0.46401,1.35663,1.74744,1.44809,0.00142686,0.00142686,0.00142686
5,833.407,1.45094,1.7266,1.36811,0.92659,0.38751,0.44515,0.30068,1.53368,3.27168,1.5356,0.00153497,0.00153497,0.00153497
6,1037.32,1.39319,1.48232,1.31679,1,0.46409,0.66483,0.48807,1.22558,1.80774,1.3483,0.00150197,0.00150197,0.00150197
7,1206.38,1.37169,1.33899,1.256,0.56565,0.60952,0.62198,0.42587,1.28416,1.69478,1.33876,0.00146896,0.00146896,0.00146896
8,1371.11,1.32998,1.48445,1.30417,0.7148,0.73333,0.70733,0.45974,1.32419,1.59109,1.40567,0.00143595,0.00143595,0.00143595
9,1518.8,1.26919,1.44383,1.3162,0.72354,0.56102,0.70856,0.48394,1.23752,1.53197,1.31251,0.00140295,0.00140295,0.00140295
10,1669.79,1.22749,1.28858,1.25766,0.74923,0.65799,0.68477,0.48448,1.26278,1.31891,1.27533,0.00136994,0.00136994,0.00136994
11,1826.52,1.20512,1.14682,1.22957,0.88756,0.76786,0.78748,0.55733,1.14178,0.99377,1.21526,0.00133693,0.00133693,0.00133693
12,1976.21,1.34897,1.22609,1.32282,0.9302,0.75,0.77454,0.53083,1.20578,1.01154,1.22407,0.00130393,0.00130393,0.00130393
13,2107.98,1.26034,1.10973,1.26467,0.91517,0.73214,0.7598,0.58747,1.10792,1.00821,1.14765,0.00127092,0.00127092,0.00127092
14,2238.28,1.15759,1.02235,1.22274,0.89048,0.71548,0.76331,0.56475,1.13241,1.06876,1.14458,0.00123791,0.00123791,0.00123791
15,2359.53,1.25334,1.02199,1.28161,0.9237,0.75,0.82935,0.56724,1.20737,0.91246,1.17336,0.00120491,0.00120491,0.00120491
16,2477.65,1.14126,0.99464,1.18979,0.90872,0.76786,0.84193,0.5888,1.20119,0.84339,1.16752,0.0011719,0.0011719,0.0011719
17,2596.91,1.09353,0.8982,1.17214,0.93636,0.77299,0.82863,0.5522,1.22199,0.85189,1.10491,0.00113889,0.00113889,0.00113889
18,2715.7,1.19319,0.95006,1.18647,0.92444,0.75,0.81786,0.55501,1.20413,0.91521,1.1364,0.00110589,0.00110589,0.00110589
19,3200.55,1.09335,0.87899,1.15887,0.86537,0.73585,0.78252,0.55684,1.17772,0.94562,1.17782,0.00107288,0.00107288,0.00107288
20,3346.41,1.04443,0.83823,1.13713,0.8559,0.78571,0.8257,0.58458,1.19465,0.82498,1.21613,0.00103987,0.00103987,0.00103987
21,3488.17,1.08619,0.88142,1.21018,0.85173,0.78571,0.8009,0.56233,1.31711,0.86056,1.26688,0.00100687,0.00100687,0.00100687
22,3631.04,1.05232,0.81899,1.14016,0.88833,0.78571,0.81559,0.58861,1.12648,0.75945,1.12304,0.000973861,0.000973861,0.000973861
23,3770.14,1.00835,0.82742,1.11982,0.85212,0.78571,0.82235,0.59724,1.11036,0.78405,1.13143,0.000940855,0.000940855,0.000940855
24,3906.24,1.05461,0.8616,1.15138,0.90508,0.76786,0.84079,0.60662,1.09567,0.77181,1.12513,0.000907848,0.000907848,0.000907848
25,4038.8,0.96311,0.77821,1.09354,0.85646,0.80229,0.84863,0.61727,1.04927,0.75566,1.09486,0.000874842,0.000874842,0.000874842
26,4179.07,0.94874,0.75278,1.13485,0.87599,0.78571,0.84956,0.64236,1.05521,0.70878,1.09148,0.000841835,0.000841835,0.000841835
27,4312.17,0.96504,0.75022,1.13202,0.88166,0.80258,0.85754,0.65066,1.02881,0.68453,1.09166,0.000808828,0.000808828,0.000808828
28,4445.58,0.96396,0.75697,1.10102,0.90717,0.80357,0.87921,0.64344,1.03792,0.6843,1.10257,0.000775822,0.000775822,0.000775822
29,4580.55,0.9084,0.70653,1.06664,0.90932,0.75,0.83601,0.62068,1.09637,0.74041,1.11381,0.000742815,0.000742815,0.000742815
30,4737.03,0.89419,0.71235,1.07154,0.91252,0.82433,0.8963,0.62447,1.14172,0.74054,1.1433,0.000709809,0.000709809,0.000709809
